fr1-xyz-method-1,rms,,,,,,fr1-xyz-method-2,rms,,,,
Initlized Time,Initlized Frame ID,First 10 Frame rpe,First 20 Frame rpe,Overall ape,Lost Frame Track,,Initlized Time,Initlized Frame ID,First 10 Frame rpe,First 20 Frame rpe,Overall ape,Lost Frame Track
1.38,3,0.008866,0.007752,0.009924,,,2.68,6,0.008087,0.009291,0.009682,
1.37,3,0.008476,0.007541,0.009687,,,2.68,6,0.006097,0.004997,0.009395,
1.3,3,0.007088,0.007042,0.009244,,,2.93,7,0.01208,0.004789,0.00974,
1.37,3,0.008717,0.00749,0.009337,,,3.07,7,0.004576,0.00785,0.00973,
1.39,3,0.008613,0.00774,0.009544,,,0.92,2,0.007261,0.004755,0.009469,
1.34,3,0.009173,0.007775,0.009572,,,3.46,8,0.007887,0.005285,0.009659,
1.42,3,0.007099,0.008261,0.009694,,,0.96,2,0.00461,0.0085,0.014268,
1.34,3,0.007135,0.007341,0.009468,,,4.73,12,0.009348,0.009128,0.009533,
1.37,3,0.008779,0.008967,0.009393,,,2.98,7,0.005226,0.010404,0.009577,
1.32,3,0.0071,0.006957,0.009784,,,0.89,2,0.005252,0.009355,0.010443,
1.45,3,0.009274,0.007612,0.009733,,,1.01,2,0.006687,0.00513,0.009826,
1.4,3,0.008579,0.008263,0.009575,,,2.37,5,0.007824,0.006381,0.009269,
1.53,3,0.008493,0.007828,0.009259,,,3.11,7,0.012381,0.008945,0.009409,
1.39,3,0.008288,0.008,0.009144,,,3.1,7,0.006461,0.009249,0.009766,
1.3,3,0.007162,0.007391,0.009504,,,4.27,11,0.011929,0.009166,0.009587,
1.45,3,0.007034,0.007619,0.009592,,,3.07,7,0.011986,0.008233,0.009542,
1.44,3,0.007866,0.007634,0.009689,,,0.94,2,0.005231,0.010385,0.009857,
1.39,3,0.008664,0.006936,0.00951,,,0.96,2,0.01221,0.00896,0.009791,
1.4,3,0.009764,0.007666,0.009491,,,2.99,7,0.004796,0.009992,0.009872,
1.39,3,0.008791,0.007854,0.009523,,,3.05,7,0.009386,0.009664,0.00934,
,,,,,,,,,,,,
,,,,,,,,,,,,
fr3-nnf-method-1,rms,,,,,,fr3-nnf-method-2,rms,,,,
Initlized Time,Initlized Frame ID,First 10 Frame rpe,First 20 Frame rpe,Overall ape,Lost Frame Track,,Initlized Time,Initlized Frame ID,First 10 Frame rpe,First 20 Frame rpe,Overall ape,Lost Frame Track
2.44,9,0.011408,0.013371,0.74852,,,2.72,10,0.013152,0.027332,0.792245,
2.48,9,0.0134,0.020539,0.746704,,,2.53,10,0.012819,0.023822,0.818079,
2.35,9,0.00996,0.015711,0.809723,,,2.6,10,0.013858,0.026324,0.802214,
2.43,9,0.0119,0.010405,0.710281,311,,2.59,10,0.013037,0.025719,0.741633,
2.35,9,0.009851,0.013945,0.700099,,,2.51,10,0.013924,0.028119,0.81982,
2.43,9,0.011775,0.024954,0.658776,,,2.61,10,0.014361,0.030135,0.746069,
2.35,9,0.012885,0.029475,0.837923,,,2.75,10,0.014752,0.026415,0.835108,
2.55,9,0.005354,0.024943,0.727449,,,2.71,10,0.014748,0.014795,0.797102,
2.41,9,0.011323,0.017469,0.805196,,,2.64,10,0.013463,0.025752,0.792995,
2.47,9,0.013651,0.013647,0.744221,,,2.71,10,0.013159,0.028529,0.809683,
2.37,9,0.011994,0.024374,0.772715,,,2.65,10,0.014598,0.017823,0.753059,
2.46,9,0.011699,0.020685,0.675657,,,2.58,10,0.014748,0.016189,0.797244,
2.41,9,0.013773,0.025778,0.754535,,,2.7,10,0.013052,0.018411,0.819701,
2.41,9,0.012465,0.020805,0.79029,,,2.61,10,0.013242,0.025477,0.767692,
2.42,9,0.008672,0.024988,0.817359,,,2.53,10,0.013413,0.015,0.794796,
2.51,9,0.010352,0.027804,0.755795,,,2.57,10,0.013037,0.012744,0.805027,
2.45,9,0.007979,0.023747,0.740178,,,2.75,10,0.012338,0.020637,0.785188,
2.37,9,0.00766,0.027642,0.757075,,,2.6,10,0.012345,0.020903,0.77104,
2.38,9,0.011874,0.0181,0.760064,,,2.59,10,0.012212,0.014612,0.800443,
2.47,9,0.011747,0.02267,0.768185,,,2.61,10,0.011365,0.014171,0.755426,
,,,,,,,,,,,,
,,,,,,,,,,,,
fr1-floor-method-1,rms,,,,,,fr1-floor-method-2,rms,,,,
Initlized Time,Initlized Frame ID,First 10 Frame rpe,First 20 Frame rpe,Overall ape,Lost Frame Track,,Initlized Time,Initlized Frame ID,First 10 Frame rpe,First 20 Frame rpe,Overall ape,Lost Frame Track
0.88,2,0.005074,0.004944,0.32449,697,,0.97,2,0.003629,0.00287,0.305051,700
0.97,2,0.00492,0.004089,0.321378,701,,2.65,6,0.004063,0.002959,0.256016,701
1,2,0.004761,0.004068,0.427321,870,,1.38,3,0.006594,0.003822,0.295696,727
1.01,2,0.004937,0.004591,0.283041,876,,2.26,5,0.001971,0.002774,0.33473,697
0.93,2,0.006314,0.004235,0.29566,876,,1.82,4,0.003395,0.003188,0.266556,697
0.95,2,0.007594,0.003929,0.32115,702,,0.92,2,0.003482,0.002684,0.333232,897
0.95,2,0.004698,0.004764,0.45868,698,,1.68,4,0.003564,0.002915,0.250225,702
0.98,2,0.004121,0.004122,0.480708,1003,,0.91,2,0.003876,0.00391,0.29027,699
0.91,2,0.00681,0.004219,0.312852,701,,0.93,2,0.003272,0.004443,0.326232,695
0.94,2,0.004884,0.00397,0.23134,709,,1.8,4,0.003311,0.002242,0.398158,879
1.02,2,0.004973,0.003126,0.27685,713,,2.89,7,0.009094,0.008861,0.344918,694
0.93,2,0.005289,0.004072,0.37689,700,,0.95,2,0.003561,0.009528,0.426859,998
0.94,2,0.004728,0.004477,0.33785,695,,1.7,4,0.003345,0.002632,0.286471,702
0.91,2,0.004314,0.005368,0.32789,698,,0.93,2,0.001699,0.002983,0.252866,701
0.96,2,0.004795,0.004938,0.32427,702,,1.01,2,0.004451,0.003548,0.279165,701
0.93,2,0.003975,0.004395,0.467655,697,,1.44,3,0.002436,0.003149,0.305882,701
0.97,2,0.003262,0.004237,0.300623,700,,0.96,2,0.008491,0.009142,0.325878,695
0.94,2,0.004028,0.004497,0.481942,696,,0.96,2,0.002316,0.008858,0.326417,704
0.95,2,0.004061,0.00585,0.295487,697,,1.35,3,0.004041,0.003759,0.294206,697
0.99,2,0.004151,0.004321,0.483206,696,,3.54,8,0.006774,0.002281,0.471044,697
